t,vout,dctrl
0.001176,5.673022,5.875994
0.001178,5.664738,5.875994
0.001180,5.654041,5.879994
0.001182,5.644139,5.879994
0.001184,5.636796,5.879994
0.001186,5.632012,5.879994
0.001188,5.629782,5.879994
0.001190,5.630051,5.879994
0.001192,5.629616,5.879994
0.001194,5.626653,5.879994
0.001196,5.621167,5.879994
0.001198,5.613165,5.879994
0.001200,5.602718,5.883995
0.001202,5.592930,5.883995
0.001204,5.585722,5.883995
0.001206,5.581092,5.883995
0.001208,5.579037,5.883995
0.001210,5.579550,5.883995
0.001212,5.579837,5.883995
0.001214,5.577613,5.883995
0.001216,5.572886,5.883995
0.001218,5.565661,5.883995
0.001220,5.555946,5.887995
0.001222,5.546543,5.887995
0.001224,5.539738,5.887995
0.001226,5.535528,5.887995
0.001228,5.533910,5.887995
0.001230,5.534879,5.887995
0.001232,5.535638,5.887995
0.001234,5.533903,5.887995
0.001236,5.529680,5.887995
0.001238,5.522976,5.887995
0.001240,5.513799,5.891995
0.001242,5.504949,5.891995
0.001244,5.498713,5.891995
0.001246,5.495087,5.891995
0.001248,5.494067,5.891995
0.001250,5.495650,5.891995
0.001252,5.497038,5.891995
0.001254,5.495946,5.891995
0.001256,5.492379,5.891995
0.001258,5.486345,5.891995
0.001260,5.477850,5.895995
0.001262,5.469697,5.895995
0.001264,5.464168,5.895995
0.001266,5.461261,5.895995
0.001268,5.460975,5.895995
0.001270,5.463303,5.895995
0.001272,5.465446,5.895995
0.001274,5.465121,5.895995
0.001276,5.462333,5.895995
0.001278,5.457088,5.895995
0.001280,5.449392,5.899995
0.001282,5.442047,5.899995
0.001284,5.437337,5.899995
0.001286,5.435259,5.899995
0.001288,5.435810,5.899995
0.001290,5.438982,5.899995
0.001292,5.441978,5.899995
0.001294,5.442513,5.899995
0.001296,5.440592,5.899995
0.001298,5.436221,5.899995
0.001300,5.429406,5.903996
0.001302,5.422948,5.903996
0.001304,5.419132,5.903996
0.001306,5.417953,5.903996
0.001308,5.419406,5.903996
0.001310,5.423486,5.903996
0.001312,5.427394,5.903996
0.001314,5.428846,5.903996
0.001316,5.427845,5.903996
0.001318,5.424397,5.903996
0.001320,5.418509,5.907996
0.001322,5.412980,5.907996
0.001324,5.410094,5.907996
0.001326,5.409848,5.907996
0.001328,5.412236,5.907996
